county,year,wheat_yield,maize_yield,sunflower_yield,emigration_rate_15_64,immigration_rate_15_64,net_migration_rate_15_64,aff_employment_number,total_employment_number,aff_employment_share,change_aff_employment_share,change_aff_employment_pct,aff_workers_per_1000ha,ha_per_aff_worker,change_aff_employment_number,decline_aff_employment_number,decline_aff_employment_pct,decline_aff_employment_share,residual_mechanization_index,density_mechanization_index,annual_mean_temperature_c,annual_precipitation_mm,rural_population_share,selected_crop_area_ha,log_selected_crop_area,wheat_area_share,maize_area_share,sunflower_area_share,z_emigration_rate_15_64,z_aff_employment_share,z_change_aff_employment_share,z_residual_mechanization_index,z_annual_mean_temperature_c,z_annual_precipitation_mm,z_rural_population_share,z_log_selected_crop_area,z_wheat_area_share,z_maize_area_share,z_sunflower_area_share,z_aff_employment_number,z_aff_workers_per_1000ha,z_ha_per_aff_worker,z_change_aff_employment_number,z_change_aff_employment_pct,z_decline_aff_employment_number,z_decline_aff_employment_pct,z_decline_aff_employment_share,z_density_mechanization_index,z_net_migration_rate_15_64,z_immigration_rate_15_64
Alba,2012,2.554843409,1.97795903,1.494949495,0.966313948,0.287282525,-0.6790314226143581,28850.0,130900.0,22.03972498090145,,,450.05693961281065,2.221941074523397,,,,,0.325906016826278,0.325602291,8.933328869,763.6737988,41.89150301,64103,11.068246443685663,21.41865435,66.17631,2.625462147,-0.42670371325327244,-0.4155917851439591,,0.3590255463560394,-0.8152360983773957,-0.003416067867272819,-0.9549297772437941,-0.643046012285844,-0.6516652106693681,1.042744793406211,-1.1697247428443767,-0.6013164032666847,-0.1074449416567329,-0.4960574702450523,,,,,,0.3497388010472826,-0.2766167647059496,-0.335102987937038
Alba,2013,3.568460697,4.124828569,0.638381995,0.981818819,0.363798938,-0.6180198818310921,30380.0,131940.0,23.02561770501743,0.9858927241159812,5.303292894280753,481.39697027318243,2.077287689269256,1530.0,-1530.0,-5.303292894280753,-0.9858927241159812,0.4120922476330565,0.415278761,8.863475614,960.1238063,41.84734948,63108,11.052602823377345,26.08544083,58.92596818,5.210115992,-0.4105679039968131,-0.3532544753314074,0.7927326935004504,0.4539702758369479,-0.8527582616254092,1.0882296888252017,-0.9589598773408516,-0.6602258726629748,-0.2373555249613591,0.6679584134214893,-0.8393053178952982,-0.5612461028747846,-0.03803279279056768,-0.5333975199496573,0.5570030729520562,0.5362502549693087,-0.5570030729520562,-0.5362502549693087,-0.7927326935004504,0.4460628809710976,-0.2649238952796269,-0.3212681904266063
Alba,2014,4.287926267,6.114667666,2.514220705,0.623066726,0.366769775,-0.2562969509500662,27220.0,131640.0,20.67760559100577,-2.3480121140116594,-10.401579986833443,410.4342581423402,2.4364437913299044,-3160.0,3160.0,10.401579986833443,2.3480121140116594,0.3636118239552521,0.339253544,9.63422579,875.3168531,41.77167844,66320,11.102246789809177,24.54010856,60.3437877,3.976176116,-0.7839186621555607,-0.5017176448167221,-0.5351052346726731,0.40056312868454047,-0.43874442751979514,0.6169690776552214,-0.9658667286310748,-0.6057067527241982,-0.374547601316681,0.7412486745656841,-0.9970508918484159,-0.6440056775404084,-0.1952015713329949,-0.44068688840034903,-0.16479951688364972,-0.4928276524917162,0.16479951688364972,0.4928276524917162,0.5351052346726731,0.36440200517465543,-0.19559965030893364,-0.3207310386349835
Alba,2015,3.999461787,4.862959608,2.160092213,0.781951662,0.393209979,-0.3887416833855379,23670.0,132160.0,17.910108958837775,-2.767496632167997,-13.041880969875097,337.415004775413,2.963709336713139,-3550.0,3550.0,13.041880969875097,2.767496632167997,0.3088795463097765,0.288378161,9.352633282,889.7366828,41.69414576,70151,11.1584053405965,23.83715129,61.37189776,5.565138059,-0.6185682364073711,-0.6767045280187879,-0.7021788257120125,0.34026879574667457,-0.590003807696046,0.6970980942154938,-0.9729435005492686,-0.5440333010235547,-0.43695500025126,0.7943939823566037,-0.793919670819462,-0.7369792503451441,-0.35692519374189713,-0.30458138601237744,-0.22482148064397495,-0.6658360831402187,0.22482148064397495,0.6658360831402187,0.7021788257120125,0.3097552906212537,-0.22098269985481517,-0.3159504320418006
Alba,2016,4.150194269,5.935285746,2.451675436,1.214885062,0.475981088,-0.7389039742154245,21640.0,134700.0,16.065330363771345,-1.8447785950664293,-8.576256865230247,324.1510507946494,3.084981515711645,-2030.0,2030.0,8.576256865230247,1.8447785950664293,0.2953028605786179,0.376423505,8.720793196,1121.871581,41.72276102,66759,11.108844398634226,24.67382675,59.99640498,5.409008523,-0.16801751830398054,-0.7933485928376407,-0.3346758326268785,0.3253124072154014,-0.9294011178647827,1.98703989582255,-0.9703316513471022,-0.59846124329586,-0.3626763186878808,0.7232916850429411,-0.813879106239599,-0.7901444201461619,-0.38630230438496016,-0.2732768355959858,0.009110275550113126,-0.37322148231516533,-0.009110275550113126,0.37322148231516533,0.3346758326268785,0.4043273311172252,-0.2880913467129664,-0.30098473399308423
Alba,2017,4.481215731,5.982662442,2.527777778,1.216460928,0.483819687,-0.7326412407901466,22990.0,138560.0,16.592090069284062,0.5267597055127169,6.238447319778184,322.77539100890124,3.0981296215745977,1350.0,-1350.0,-6.238447319778184,-0.5267597055127169,0.2493585174069486,0.293648198,8.747192383,816.4294184,41.63378453,71226,11.173613199281588,20.74102154,62.92084351,6.570634319,-0.16637752573714526,-0.7600419437914593,0.6098677751003141,0.27469906454130594,-0.9152206103962502,0.28973967700090897,-0.9784529535620059,-0.5273319950793016,-0.7118243453843842,0.8744624515195124,-0.6653780881002298,-0.7547882727415441,-0.3893491266064294,-0.26988285400626005,0.5293006281395984,0.5975272080926338,-0.5293006281395984,-0.5975272080926338,-0.6098677751003141,0.31541598918788394,-0.2868910930682702,-0.29956745075046187
Alba,2018,4.627407184,7.41071388,2.612148717,1.592975913,0.524745007,-1.068230906543851,18750.0,132550.0,14.145605431912484,-2.4464846373715776,-18.442801217920834,253.97212401966763,3.93744,-4240.0,4240.0,18.442801217920834,2.4464846373715776,0.237903539320515,0.243995961,9.483492064,1033.067861,41.4078485,73827,11.20947979733897,22.43759058,59.59743725,7.760033592,0.22545894811411535,-0.9147314622968613,-0.5743251757774249,0.26207999783604013,-0.5197121000205734,1.4935697995360593,-0.999075196368679,-0.4879432132830012,-0.5612057154649073,0.7026681510124555,-0.5133265379169162,-0.8658327653308622,-0.5417351488949775,-0.053227770594734936,-0.3310141857583965,-1.019736923299612,0.3310141857583965,1.019736923299612,0.5743251757774249,0.26208309099079613,-0.351206894506899,-0.29216781591329793
Alba,2019,4.295356197,5.858560104,2.868480127,1.502215292,0.565707657,-0.9365076346764531,18810.0,136760.0,13.754021643755484,-0.3915837881569999,0.3200000000000091,261.1955842532806,3.828548644338118,60.0,-60.0,-0.3200000000000091,0.3915837881569999,0.3164795182849076,0.284875944,9.709572209,845.2239256,41.13324981,72015,11.18462970963315,21.49968757,59.90696383,10.51586475,0.13100501370512846,-0.9394910323016034,0.24410708870036865,0.34864109926298703,-0.39827157290663234,0.4497468055368084,-1.0241391087494283,-0.5152336376688742,-0.6444712136750793,0.7186682720146474,-0.16102398558689104,-0.8642613810017681,-0.5257365717877011,-0.08133640162105309,0.3307664403169842,0.20971487561716476,-0.3307664403169842,-0.20971487561716476,-0.24410708870036865,0.3059934584458954,-0.32596211296917504,-0.2847614315047569
Alba,2020,3.278239418,6.45859199,2.417423678,1.134126096,0.299216246,-0.8349098490405775,18710.0,134560.0,13.904577883472058,0.1505562397165736,-0.531632110579483,259.7709128774731,3.8495456974879745,-100.0,100.0,0.531632110579483,-0.1505562397165736,0.3293535013614467,0.289915055,9.267863746,980.2670288,41.06776562,72025,11.18476855995273,21.3870184,60.3873655,9.323151683,-0.25206280130729547,-0.9299714661968425,0.4600322954305208,0.36282337442575774,-0.6355383553452622,1.2001628144487144,-1.0301161583867893,-0.5150811519234594,-0.6544737986683578,0.7435013084849079,-0.31349916770451486,-0.8668803548835916,-0.528891945268173,-0.07591633483942602,0.30614204492813285,0.15391080786595968,-0.30614204492813285,-0.15391080786595968,-0.4600322954305208,0.31140611274315955,-0.306490884637737,-0.3329452729173731
Alba,2021,4.873308929,6.259047576,2.503319016,1.793549009,0.636420616,-1.157128393037944,30000.0,144160.0,20.810210876803552,6.905632993331494,60.34206306787815,424.56234698065407,2.355366666666667,11290.0,-11290.0,-60.34206306787815,-6.905632993331494,0.3385097240913025,0.302391721,8.353868799,966.8608686,41.59254291,70661,11.16564907309151,17.78350151,62.6455895,10.87304171,0.4341939462339653,-0.4933331050170492,3.1504651531985677,0.3729100794831128,-1.126497117527403,1.1256666203171382,-0.9822172699544846,-0.5360782170710645,-0.9743881458401618,0.8602339562919347,-0.11536285925983347,-0.571198203625714,-0.16391056794289746,-0.46161570288687404,2.0590911916719903,4.142722135909205,-2.0590911916719903,-4.142722135909205,-3.1504651531985677,0.3248076591350586,-0.368244108918452,-0.27197594626346017
